PM25,PM10,CO,NO,NO2,NOx,O3,PH_RAIN,RAINFALL,RH,SO2,TEMP,UVB,WIND_DIREC,WIND_SPEED
38,39,0.41,0.68,14.78,15.46,13.3,0,0,79.05,5.9,13.25,0,201.41,6.98
40,40,0.41,0.71,14.25,14.96,13,0,0,74.19,5.5,14.97,0,207.96,6.85
33,35,0.38,0.61,8.79,9.4,17.7,0,0,58.96,4.8,20.1,0,207.75,6.58
25,26,0.37,0.53,7.3,7.83,18.9,0,0,59.52,3.7,20.6,0,210.41,6.72
29,27,0.39,0.5,7.64,8.14,17.1,0,0,59.87,3.1,20.92,0,212.49,7.155
32,29,0.39,0.39,5.64,6.03,18.7,0,0,59.72,2.9,20.89,0,210.3,7.77
22,30,0.39,0.38,4.96,5.34,18.3,0,0,60.02,2.8,20.89,0,212.69,7.74
21,31,0.39,0.41,4.41,4.82,18,0,0,61.09,2.7,22.01,0,214.75,7.93
21,30,0.4,0.56,6.82,7.38,13.7,0,0,61.42,2.6,22.17,0,214.62,7.53
22,29,0.41,0.38,5.41,5.79,13.7,0,0,61.48,2.5,22.12,0,213.38,7.45
19,21,0.44,0.81,8.12,8.93,9.7,0,0,61.18,2.2,21.84,0.1,212.47,6.65
13,22,0.39,1.27,5.33,6.6,13.4,0,0,61.17,2.2,21.71,0.4,204.29,7.36
16,23,0.42,3.6,9.48,13.07,10.5,0,0,60.36,2.3,20.83,1.3,198.74,7.86
21,24,0.4,3.76,7.62,11.38,14.2,0,0,57.44,2.4,18.42,2.6,190.03,7.5
19,30,0.44,4.78,11.66,16.44,14.1,0,0,56.97,3.1,17.96,2,190.38,6.715
24,32,0.4,2.39,8.25,10.64,20.3,0,0,56.64,2.5,17.84,1.8,189.19,6.63
24,32,0.45,4.66,15.35,20.02,12.3,0,0,57.15,3.2,18.08,1.4,194.3,6.84
22,34,0.42,4.27,14.21,18.48,13.1,0,0,58.07,3.2,18.85,1.2,197.34,6.69
26,45,0.4,3.14,15.38,18.52,15.4,0,0,58.72,4.3,19.49,0.6,199.91,6.42
36,46,0.38,1.47,13.22,14.69,15.8,0,0,60.08,2.5,20.82,0.1,210.08,5.775
36,40,0.38,0.54,11.11,11.65,16.9,0,0,60.28,1.9,21.25,0,209.96,6.73
29,41,0.44,1.57,21.95,23.52,5.4,0,0,60.78,2.5,21.53,0,213.39,6.665
29,42,0.37,0.75,14.93,15.68,10.5,0,0,60.81,3,21.94,0,215.19,7.19
29,39,0.42,0.69,16.64,17.33,8.5,0,0,60.81,2.7,21.74,0,212.66,7.27
32,37,0.53,10.51,20.23,30.75,2.5,0,0,59.99,2.5,20.97,0,211.34,7.03
33,37,0.39,0.97,19.36,20.34,3.2,0,0,59.59,2.2,20.75,0,209.57,6.985
26,34,0.4,1.7,20.16,21.86,1.6,0,0,59.49,2.8,20.7,0,209.55,7.055
24,38,0.43,8.32,22.81,31.13,1.85,0,0,59.46,3,20.65,0,208.01,6.62
23,37,0.4,4.11,20.79,24.91,1.175,0,0,59.75,3.3,20.7,0,210.66,6.65
20,34,0.39,2.98,19.4,22.38,0.5,0,0,59.51,3.1,20.95,0,209.83,6.1925
23,36,0.4,2.26,19.94,22.21,4.8,0,0,59.9,4.1,21.14,0,212.97,6.6375
32,41,0.4,2.88,23.01,25.89,4.3,0,0,60.67,4.3,21.74,0,213.86,6.94
27,35,0.3,1.08,11.46,12.54,16.2,0,0,60.98,2.6,21.79,0,215.42,6.7975
12,21,0.23,0.99,8.36,9.35,26.6,0,0,60.81,1.8,21.71,0,214.64,6.615
11,15,0.28,1.26,9.6,10.86,25.3,0,0,60.66,1.6,21.72,0.1,212.67,6.40125
12,21,0.3,2.26,11.71,13.97,21.5,0,0,60.61,1.7,21.61,0.5,211.74,6.775
18,23,0.3,3.21,12.19,15.4,21.3,0,0,59.15,2.2,20.34,1.3,194.83,6.6125
19,17,0.31,4.01,9.6,13.61,24.5,0,0,57.96,2,18.63,3.4,187.09,6.6925
12,20,0.28,3.96,8.48,12.44,30.7,0,0,57.1,2.6,18,5.1,190.09,6.65125
14,29,0.3,3.24,7,10.24,36.8,0,0,61.28,2.5,16.85,5.5,85.88,6.61
22,35,0.32,3.865,11.225,15.085,38.15,0,0,68.44,3.2,16.09,4.5,59.44,7.02
27,42.5,0.36,4.49,15.45,19.93,39.5,0,0,70.04,3.9,15.98,2.9,73.1,6.42
33,50,0.33,4.28,14.77,19.06,34.2,0,0,72.67,4.2,15.13,1.3,59.54,6.8
27,47,0.33,3.46,14.14,17.6,29.6,0,0,74.35,3.6,14.34,0.3,35.18,5.08
24,42,0.36,1.94,15.54,17.48,26.5,0,0,78.1,3.3,13.24,0,31.96,4.48
24,38,0.33,1.29,12.04,13.33,27.3,0,0,82.62,2.5,12.23,0,26.6,3.47
23,39,0.32,1.25,8.93,10.18,26.6,0,0,86.56,2.4,11.45,0,27.71,3.42
29,39,0.34,1.41,8.86,10.27,23.9,0,0,88.32,2.3,11.09,0,24.98,3.29
32,36,0.35,1.44,9.26,10.7,21.9,0,0,88.26,2.2,11.23,0,21.75,3.25
29,34,0.35,1.28,7.94,9.22,23.6,0,0,87.11,2,11.44,0,26.87,3.12
24,27,0.35,1.09,5.45,6.55,28.2,0,0,84.75,1.9,11.94,0,26.01,3.06
17,22,0.34,0.98,5,5.98,27.7,0,0,84.72,1.7,12.03,0,29.81,3.52
12,23,0.31,1.04,5.04,6.08,27.9,0,0,85.68,1.8,12.05,0,26.97,3.12
13,25,0.29,1.12,4.13,5.25,30.1,0,0,87.07,2,11.97,0,29.16,3.55
15,22,0.28,0.91,4,4.91,30.9,0,0,88.24,2.3,11.83,0,27.87,3.33
13,17,0.28,1.01,4.01,5.01,31.5,0,0,88.5,2.5,11.72,0,33.19,3.62
16,17,0.3,0.89,5.22,6.11,29.8,0,0,89.01,2.2,11.57,0,29.98,4.02
21,23,0.31,0.75,5.31,6.06,29.8,0,0,89.43,2,11.47,0,31.33,3.91
19,27,0.34,1.08,5.24,6.32,28.9,0,0,89.62,1.9,11.53,0.2,35.08,3.46
16,27,0.35,1.33,4.43,5.76,28.6,0,0,87.07,1.6,12.19,0.7,21.58,1.66
13,28,0.39,3.8,9.89,13.69,22.5,0,0,80.06,1.6,14.03,1.8,3.12,0.62
19,35,0.54,21.05,18.74,39.79,17.1,0,0,68.18,2.7,17.33,2.6,179.22,1.3
30,45,0.49,14.39,21.23,35.62,15,0,0,62.15,3.2,18.28,3.3,185.46,3.02
36,54,0.45,4.7,13.55,18.25,28.3,0,0,63.77,5.7,18.24,2.9,193.96,1.47
40,57,0.46,7.19,21.81,28.99,26.6,0,0,63.06,6,18.53,2.5,187.33,2.47
37,66,0.44,3.73,15.2,18.93,39.8,0,0,57.02,4.5,19.27,2,184.96,1.09
37,83,0.52,5.89,26.84,32.73,32.7,0,0,62.03,3.9,18.95,0.9,349.33,1.68
44,85,0.49,3.33,22.45,25.79,26.4,0,0,74.66,3.4,17.88,0.3,23.32,2.98
46,87,0.5,1.52,26.99,28.51,22.7,0,0,82.42,3.4,16.22,0,18.12,2.23
52,97,0.56,1.77,33.66,35.43,13.7,0,0,85.1,3.9,15.54,0,346.07,0.93
52,95,0.62,3.96,35.57,39.53,6.1,0,0,86.33,3.3,15.15,0,178.19,1.18
55,95,0.63,4.14,34,38.14,3.3,0,0,86.53,3.3,14.81,0,10.31,0.88
64,93,0.62,5.86,32.07,37.94,2.1,0,0,87.18,2.9,14.38,0,22.63,0.65
65,90,0.7,30.79,33.76,64.55,0.6,0,0,85.88,4.3,14.49,0,349.37,0.61
53,85,0.61,19.6,30.18,49.78,0.7,0,0,86.07,3.6,14.3,0,349.26,0.49
47,68,0.51,7.62,24.44,32.05,2.1,0,0,87.3,2.6,13.71,0,349.57,0.58
44,59,0.46,1.33,16.71,18.04,7.5,0,0,88.71,2,13.2,0,349.28,1.12
40,69,0.48,0.98,17.6,18.58,11.1,0,0,87.69,2.2,13.12,0,280.9,0.69
44,71,0.45,1.11,13.62,14.73,8.3,0,0,89.15,1.5,11.96,0,285.16,0.8
40,59,0.43,0.92,9.35,10.27,8.4,0,0,89.58,1.5,11.49,0,285.75,0.73
36,57,0.49,4.55,21.58,26.13,2.7,0,0,88.46,2.3,11.9,0,283.91,1.1
35,61,0.47,2.15,13.01,15.16,13.4,0,0,83.25,2.5,12.56,0,273.43,0.82
38,58,0.78,21.49,21.3,42.79,5.8,0,0,82.94,3.5,13.21,0.2,274.02,1.29
60,73,0.72,13.59,21.08,34.67,9,0,0,75.84,3.8,15.95,0.8,273.73,1.44
73,100,0.65,4.47,19,23.47,26.8,0,0,68.4,4.9,17.71,1.9,244.98,1.45
58,89,0.54,3.73,16.33,20.06,36.4,0,0,59.74,3.6,19.33,3.4,222.11,1.95
48,69,0.55,6.97,23.93,30.9,38.2,0,0,54.2,4.5,20.7,5.1,12.94,1.84
52,74,0.49,3.39,17,20.38,47.6,0,0,59.27,3.9,21.56,4.4,1.72,2.14
67,93,0.54,2.07,18.91,20.98,70.9,0,0,63.03,4.9,21.05,3.1,2.55,2.32
74,116,0.6,1.74,21.61,23.35,78.2,0,0,63.85,5.2,21.06,1.7,351.06,1.46
71,122,0.55,1.41,22.57,23.98,73.3,0,0,68.23,5.3,20.26,0.8,260.61,1.74
69,115,0.55,1.75,32.3,34.06,51.4,0,0,71.33,5.7,19.86,0.2,260.55,1.85
69,114,0.54,1.5,29.24,30.74,44.3,0,0,73.71,5.9,19.06,0,260.71,0.63
85,132,0.71,1.16,26.48,27.64,35.9,0,0,78.19,4.2,18.38,0,260.72,0.59
104,142,0.81,1.37,34.83,36.2,25.4,0,0,80.13,4,18.01,0,260.71,1
114,147,1,5.3,51.74,57.04,13.1,0,0,81.92,5.7,17.21,0,260.67,0.51
122,164,0.82,1.3,29.75,31.05,35,0,0,81.15,6.2,17.19,0,261.53,1.43
119,169,0.7,0.84,22.5,23.34,43.9,0,0,79.4,4.9,17.17,0,261.43,1.43
105,148,0.62,0.75,20.75,21.49,48.1,0,0,73.26,3.9,17.75,0,261.01,1.56
87,113,0.54,0.75,18.65,19.4,41.7,0,0,75.36,2.8,16.67,0,261.26,1.13
51,65,0.34,0.5,8.45,8.95,43.4,0,0,64.63,1.9,17.38,0,260.75,1.14
29,40,0.38,0.71,10.48,11.19,39.2,0,0,63.46,1.8,17.39,0,260.93,0.89
